Date,Location,Minimum Feeling Temperature(¡ÆC),maximum temperature(¡ÆC),average temperature(¡ÆC),lowest temperature(¡ÆC),Average Relative Humidity(%),average wind speed(m/s),maximum wind speed(m/s),Cold wave warning(O/X)
2023-01-03,114,-6.8,0,-6,-11.6,57.3,0.7,2.1,O
2023-01-03,115,-1.5,5.3,3.1,1.4,53.9,2.3,5,X
2023-01-03,119,-12.8,-0.2,-6.3,-11.4,62.8,1.4,4,X
2023-01-03,121,-5.9,0.8,-6.7,-13.8,58.3,0.7,2.9,O
2023-01-03,127,-8.1,0.5,-7.8,-14,60.1,0.8,2.8,O
2023-01-03,129,-11.2,1.6,-4.8,-10.2,70.4,1.3,4.8,X
2023-01-03,130,-8.3,7.7,0.9,-3.1,23.1,3.5,5.4,X
2023-01-03,131,-4.9,1.7,-3.3,-8,52.8,0.8,3.2,X
2023-01-03,133,-11.5,3.4,-3.5,-9,55,1.6,4,X
2023-01-03,135,-12.1,0.8,-3.8,-8.7,51.8,3.9,7.8,X
2023-01-03,136,-9.9,3.4,-3.7,-11.4,43.4,1.8,5.3,O
2023-01-03,137,-11.6,2.7,-2.3,-5.7,45.1,3,4.8,X
2023-01-03,138,-9.5,6.3,0.6,-3.4,30.9,3.8,6.6,X
2023-01-03,140,-6.6,3.4,-3.3,-8.4,67.8,1.4,5.5,X
2023-01-03,143,-8.4,4.6,-0.3,-3.5,49.4,3.4,5.6,X
2023-01-03,146,-10.7,2.9,-2.1,-7.2,65.5,1.6,3.4,X
2023-01-03,152,-7,5.8,0.9,-3.9,23,2.3,4,X
2023-01-03,155,-5.9,4.9,0.4,-2.7,30.8,1.7,4.4,X
2023-01-03,156,-6.4,4.8,0.2,-3.2,57,1.6,3.7,X
2023-01-03,159,-6.8,6.8,1.5,-1.7,28.3,2.9,6.1,X
2023-01-03,162,-5.9,8.2,1.8,-2.3,38.9,2.1,4.1,X
2023-01-03,165,-5.1,4.1,0.9,-0.8,67.8,4.2,8.6,X
2023-01-03,168,-9.1,5.2,1.1,-1.4,42.9,8.4,12.5,X
2023-01-03,169,-3.4,6.1,3.9,2.9,59,8.4,12.4,X
2023-01-03,170,-2.4,6.4,2.7,0.5,61.9,2,4.9,X
2023-01-03,172,-8.7,3.1,-1.4,-5.3,63.9,2.6,4.6,X
2023-01-03,184,0.5,8.5,6.2,4.5,60.1,4.6,6.2,X
2023-01-03,192,0.4,7.3,-1.4,-7.1,44.9,0.6,2.6,X
2023-01-03,202,-8.3,1.3,-6.5,-12.9,59,1,2.9,O
2023-01-03,203,-16.4,1.7,-6.2,-14.3,59.1,0.8,2.6,O
2023-01-03,211,-9.9,0.8,-7.9,-14.2,60.9,0.9,3.9,O
2023-01-03,212,-5.7,0.4,-8,-14.8,61,0.5,2.1,O
2023-01-03,216,-12.2,-0.1,-5,-8.7,25,1.3,3.4,O
2023-01-03,217,-15.2,-0.1,-7.6,-14.7,49.6,1.4,4.6,O
2023-01-03,221,-15.4,-1,-9.6,-16.9,68.5,0.9,3.8,O
2023-01-03,226,-8.2,1.3,-6,-13.6,62.9,1.1,4.5,O
2023-01-03,232,-9.7,1.5,-6.3,-13.6,66.5,0.9,3,O
2023-01-03,235,-8.2,3.3,-2.4,-6.1,61.4,0.8,2,X
2023-01-03,236,-3.4,4.1,-4.1,-10.3,69.8,0.6,3,X
2023-01-03,238,-6,2.8,-4.6,-12.2,64.5,0.8,2.8,X
2023-01-03,239,-10.4,2.6,-3.7,-9.3,54.8,1,3.4,X
2023-01-03,243,-4.6,3.3,-2.3,-7.4,71.5,0.8,2.3,X
2023-01-03,244,-3.3,2.8,-5.3,-12.3,75.6,0.7,4.2,X
2023-01-03,245,-6,2,-3,-7.8,69.1,1.1,3.9,X
2023-01-03,247,-15.1,2.8,-4.3,-9.9,71.9,1.6,2.9,X
2023-01-03,248,-5.7,0.9,-7.4,-14.4,74.4,0.9,4.3,X
2023-01-03,252,-5.1,4.8,-0.6,-4.2,65.9,1.4,4.1,X
2023-01-03,253,-8,6.2,0.2,-3.5,31.9,2.7,5.7,X
2023-01-03,254,-13,2.5,-4.3,-11.1,75.5,1.5,5.5,X
2023-01-03,257,-3.4,7.7,2.3,-1.7,26.9,2.2,4.9,X
2023-01-03,259,-4.8,6.9,1.8,-1,59.8,3,5.6,X
2023-01-03,260,-5,6.3,1.1,-1.9,58.9,2.7,5.6,X
2023-01-03,261,-4.6,5.8,0.8,-2.3,68.6,1.8,6,X
2023-01-03,262,-5.3,5.6,0.5,-4.8,57.1,2.2,5.9,X
2023-01-03,263,-11.3,8.2,-1.7,-8.6,52.4,1.5,4.5,X
2023-01-03,264,-9,4.5,-0.3,-4.6,39,3.8,6.1,X
2023-01-03,268,-3.5,5.4,2,-1.5,68,3.2,6.3,X
2023-01-03,271,-9.7,2.3,-5.8,-13.6,57.9,1.1,5,O
2023-01-03,272,-14.6,1.2,-3.9,-10,42.8,4.5,7.8,O
2023-01-03,273,-11.3,1.9,-2.8,-7.7,38.3,3,5.1,X
2023-01-03,276,-11.2,3.2,-5.5,-14.9,41.1,2,5.3,O
2023-01-03,277,-9.5,4.3,-0.7,-5.5,30.6,3.9,10.4,X
2023-01-03,278,-3.1,4.2,-5.9,-13.7,59.4,0.9,4.6,O
2023-01-03,279,-7.4,4.4,-0.9,-5.3,40.1,1.5,3.3,X
2023-01-03,281,-10.6,4.5,-0.7,-4.5,37.9,4.1,6,X
2023-01-03,283,-9.4,5.5,-0.7,-6.3,33,4,7.8,X
2023-01-03,284,-12.1,5.1,-3.3,-11,57.4,1,2.9,X
2023-01-03,285,0.5,6.5,-2.3,-9.3,54.9,0.5,2.1,X
2023-01-03,288,-1,6.6,-1.7,-7,42.3,0.8,3.3,X
2023-01-03,289,-8.7,4.6,-0.6,-5.1,43,3.3,6.2,X
2023-01-03,294,-3.9,5.4,1.4,-1,40.9,1.4,3.1,X
2023-01-03,295,-4.6,6.1,0.6,-4.5,49.4,1.3,3.9,X
2023-01-03,433,-10.5,-1.7,-5.9,-9.9,41,0.4,1.9,X
2023-01-03,437,-10.1,0.5,-3.6,-7.8,42,1.1,3.4,X
2023-01-03,438,-8.4,1.1,-4.1,-8.4,42,0.9,3.6,X
2023-01-03,445,-13.7,1.2,-5.2,-10.9,47,1,3.1,X
2023-01-03,504,-10.5,0.2,-8.2,-14.7,61,1,4.1,O
2023-01-03,505,-19.2,-0.9,-8.8,-15.8,60,0.9,3.6,O
2023-01-03,516,-15.6,0.9,-6.5,-12.5,64,1.1,4.4,O
2023-01-03,517,-9.3,4.7,0.4,-5.3,18,3,6.1,X
2023-01-03,526,-12.1,0.7,-9.9,-17,60,0.7,3.3,O
2023-01-03,532,-14.7,-0.4,-7,-13.3,60,0.8,3,O
2023-01-03,536,-16.2,-0.1,-9,-15.7,67,1,3.8,O
2023-01-03,540,-5.4,0.5,-7,-12.5,54,0.8,3.4,O
2023-01-03,541,-16.4,1.8,-7.1,-13.2,55,1.1,3.3,O
2023-01-03,545,-4.5,1.5,-7.5,-14.8,69,0.4,2.6,X
2023-01-03,546,-15.2,0.8,-6.7,-12.4,48,0.9,3.7,O
2023-01-03,548,-17.4,-0.2,-6.4,-13.1,60,1.4,2.4,O
2023-01-03,549,-5,1.4,-6.8,-13,59,1,2.9,O
2023-01-03,550,-10.4,1.6,-5.9,-12.4,57,0.9,2.9,X
2023-01-03,551,-13.5,1,-4.7,-10.5,59,1.6,4.7,X
2023-01-03,555,-18.1,0.8,-8.8,-15.3,71,1.2,3.6,O
2023-01-03,556,-14.4,0.4,-9.8,-17.6,59,1.1,4,O
2023-01-03,565,-7.2,0.9,-7,-13.3,67,0.9,3.9,X
2023-01-03,569,-13,1.2,-5.4,-10.3,49,1.3,3.3,X
2023-01-03,571,-7.1,0.5,-5.3,-9.7,58,0.6,2.3,X
2023-01-03,572,-4.1,0.6,-5.5,-10.5,43,0.6,2.6,X
2023-01-03,590,-12.2,1.2,-5.8,-12.3,54,1.1,3.7,X
2023-01-03,598,-8.4,-1.1,-8.9,-15.4,67,0.9,3.5,O
2023-01-03,601,-8.8,1.5,-6.8,-13.5,64,0.7,2.4,O
2023-01-03,602,-13.3,1.5,-5.9,-12.8,59,0.9,4.3,O
2023-01-03,603,-7,1,-8.3,-16.1,67,0.9,3.5,O
2023-01-03,604,-5.1,2.8,-4.5,-11.7,66,0.7,3.2,X
2023-01-03,608,-12.3,2.5,-4.4,-9.5,62,1.3,3.1,X
2023-01-03,612,-5.7,3,-4.9,-12,67,0.6,3.4,X
2023-01-03,615,-12.4,4.3,-4.1,-10,71,1.2,3.8,X
2023-01-03,616,-9.3,2,-4.5,-9.4,68,1.1,3.8,X
2023-01-03,618,-2.2,2.3,-6.3,-12.9,74,0.4,1.9,X
2023-01-03,619,-18.8,-0.1,-8.6,-16.2,66,1.8,5.3,O
2023-01-03,623,-8.4,1.8,-5.5,-12.1,61,1.1,3.5,O
2023-01-03,627,-6.1,2.4,-3,-7.2,64,1,4.1,X
2023-01-03,628,-12.5,1.7,-4.6,-9.6,70,1.1,2.5,X
2023-01-03,634,-13.7,0.3,-5.1,-10.2,73,1.6,5.3,X
2023-01-03,636,-7.7,2.6,-5.3,-12.5,66,1.3,4.5,O
2023-01-03,652,-7.9,-0.7,-9.1,-15.7,64,0.7,3.1,O
2023-01-03,670,-8.1,4.5,0,-3.1,19,5,7.5,X
2023-01-03,699,-4.8,5.6,0.3,-2.8,69,2,5.4,X
2023-01-03,701,-15.8,2.3,-5.9,-12.6,71,1.2,4.2,X
2023-01-03,702,-10.4,3.4,-2.6,-8.3,65,1.6,4.3,X
2023-01-03,703,-11.7,1.4,-6.5,-13.5,75,1.2,4,X
2023-01-03,706,-8.9,5.6,-2.2,-7.7,81,1.4,4.8,X
2023-01-03,709,-8.7,4.9,0.5,-4.1,57,5.6,9.2,X
2023-01-03,710,-9.7,5.3,-1.6,-7.2,78,1.8,5.5,X
2023-01-03,712,-5.3,6.4,1.1,-3.4,50,2.8,5,X
2023-01-03,713,-4.3,6.3,1.3,-1.3,35,2.2,3.9,X
2023-01-03,730,-7.2,4.8,-2.2,-7.4,76,1.2,3.7,X
2023-01-03,731,-7,6.3,-0.2,-5.7,77,1.4,5.2,X
2023-01-03,732,-6,4.3,-0.1,-3.7,61,2.4,5.8,X
2023-01-03,734,-12.6,4.5,-3.4,-8.3,74,1.5,3.9,X
2023-01-03,737,-12.5,2.3,-2.4,-7.5,66,1.1,4.5,X
2023-01-03,741,-9.5,4.4,-1.7,-6.9,70,1.9,6,X
2023-01-03,754,-9.1,5.4,-0.1,-5.3,71,2.3,6.6,X
2023-01-03,768,-5.9,4,-2.8,-9.6,74,1.5,5,X
2023-01-03,789,-8.5,5.9,1.5,-2.5,75,3.3,6.7,X
2023-01-03,801,-16,3,-6,-14.7,55,1.5,3.9,O
2023-01-03,810,-13.6,5.1,-3.2,-11.2,49,2.1,5.6,X
2023-01-03,812,-1.2,5.5,-4.5,-11.7,53,0.6,3.4,X
2023-01-03,813,-13.9,5.2,-3.7,-11.2,53,1.3,4.2,X
2023-01-03,815,-7.6,4,-4.8,-12.5,49,1.1,3.6,X
2023-01-03,822,-17.1,2.8,-6.7,-15.1,60,1.2,4,O
2023-01-03,823,-13.4,4,-5.1,-13.4,59,1.3,3.9,O
2023-01-03,825,-8.1,4.7,-0.7,-6,45,2.6,5,X
2023-01-03,827,-7.9,4.7,0.1,-3.2,33,2.4,4.4,X
2023-01-03,876,-6.9,8.6,1.9,-1.5,18,3.3,5.6,X
2023-01-03,90,-6.4,5.6,0,-5.1,18.3,1.9,6.9,X
2023-01-03,907,-5.7,6.4,1.8,-1.5,34,3,4.9,X
2023-01-03,918,-8.3,7.3,0,-5.8,43,2.2,4.9,X
2023-01-03,919,-7.2,5.4,-1.9,-7.5,50,1.4,4.5,X
2023-01-03,920,-11.7,6.5,-3.2,-10.4,58,0.9,3.1,X
2023-01-03,93,-6.1,0,-8.8,-15.7,61.5,0.6,3.1,O
2023-01-03,932,-8.1,7.5,0.3,-5.4,52,1.6,4.8,X
2023-01-03,95,-6.3,-1.7,-10.6,-18,66.5,0.6,2.4,O
2023-01-03,98,-7.6,-0.5,-7.6,-13.5,54.8,0.5,2.9,O
2023-01-03,99,-5.3,-0.5,-9,-16.7,63.3,0.4,3.1,O
2023-01-04,104,-6.2,5.6,0.8,-2.8,19.4,2,6.3,X
2023-01-04,106,-3.8,7.4,2.7,-1.1,18,1.8,4.5,X
2023-01-04,108,-9.1,3.3,-1.8,-5.7,51.4,1.9,4.2,X
2023-01-04,112,-7.9,1.9,-1.5,-4.4,51.3,1.7,3.9,X
2023-01-04,114,-12.7,2.6,-4.8,-10.5,56.6,0.6,2.3,O
2023-01-04,115,-3.1,4.3,2.5,1.3,53.1,2.7,6.1,X
2023-01-04,119,-11.5,2.5,-3.1,-9.2,70.9,1.2,3.7,X
2023-01-04,121,-5.2,3.3,-5.1,-12.6,57.4,0.7,3.1,O
2023-01-04,127,-7.9,2.7,-5.5,-11.9,66.4,0.7,2.2,O
2023-01-04,129,-8.2,4.7,-1.5,-8.3,71.1,1,3.7,X
2023-01-04,130,-8.3,6.3,1,-3.2,26,3,4.6,X
2023-01-04,131,-8.2,4.4,-1.4,-7,51.9,0.7,2.7,X
2023-01-04,133,-10.1,5.5,-1.5,-7.1,53.3,1.4,5.5,X
2023-01-04,135,-11.5,3.9,-1.4,-5.4,49.3,3.3,6.8,X
2023-01-04,136,-13.5,4.9,-2.6,-10.8,45.8,1.9,4.8,O
2023-01-04,137,-9.1,5,-0.4,-5.5,43.9,2.2,4.5,X
2023-01-04,138,-7.6,6.8,1.7,-3.2,36.5,2.8,5.3,X
2023-01-04,140,-9.5,5.7,-0.7,-5.9,70.1,1.3,3.9,X
2023-01-04,143,-7.8,6.5,1.1,-3.5,55.8,2.8,5.6,X
2023-01-04,146,-8.2,5.6,0,-5.4,66,1.5,3.7,X
2023-01-04,152,-6.6,7,1.6,-3.9,35.6,2.5,6.2,X
2023-01-04,155,-7.6,8,1.8,-3.7,36.1,1.7,4.9,X
2023-01-04,156,-7.5,5.4,0.4,-4.1,62.4,0.6,3.1,X
2023-01-04,159,-6.7,8.5,2.6,-2,39.5,2.6,5.1,X
2023-01-04,162,-6.6,8.5,2.8,-2.4,49.3,2.5,6.4,X
2023-01-04,165,-6.4,6.2,1.6,-3.2,64.6,2.3,5.3,X
2023-01-04,168,-7.6,7.5,2.8,-1.7,47.9,4.7,9.6,X
2023-01-04,169,-2.2,7.4,4.9,2.8,66.5,3.7,7.4,X
2023-01-04,170,-2.8,7.7,3.3,-1.5,64.4,1.5,3.6,X
2023-01-04,172,-9,5.9,-0.7,-6.2,69.9,1.5,5.2,X
2023-01-04,184,1.3,9.9,6.2,4.1,63.4,2.6,5.5,X
2023-01-04,192,2.1,8.5,-0.9,-7.4,53.5,0.7,3.1,X
2023-01-04,202,-8.8,3.6,-4.3,-10.1,58,0.8,3.5,O
2023-01-04,203,-9,3.9,-3.8,-10.8,63.4,0.8,2.1,O
2023-01-04,211,-5.7,2.4,-7.6,-14.4,61.3,0.8,3.5,O
2023-01-04,212,-2.8,2.5,-7.2,-14.4,60.3,0.5,2.6,O
2023-01-04,216,-10.9,-0.9,-5.5,-9.3,33.3,1,3.3,O
2023-01-04,217,-13.7,2.2,-6.5,-14.1,44.4,1.1,4.2,O
2023-01-04,221,-3.6,1.8,-8,-14.9,67.9,0.8,3.5,O
2023-01-04,226,-1.5,3.8,-4.3,-11.4,67.6,0.8,4.1,X
2023-01-04,232,-0.4,4,-3.9,-11.1,69.1,0.7,3.6,X
2023-01-04,235,-6.6,5.5,0,-5.1,64.5,0.7,1.8,X
2023-01-04,236,2,6.5,-1.6,-7.9,69.8,0.6,3.6,X
2023-01-04,238,-2.8,4.8,-3.2,-9.9,70,0.8,3.8,X
2023-01-04,239,-1.7,5.1,-1.8,-7.4,56.1,0.8,3.9,X
2023-01-04,243,-6,5.6,-0.5,-5.7,75.6,0.5,2,X
2023-01-04,244,0.5,4.7,-3.3,-10.1,78.8,0.6,3.3,X
2023-01-04,245,-8.3,4.7,-1.2,-7,72.5,0.6,2.4,X
2023-01-04,247,-12.1,5.1,-2.8,-8.6,75.4,1.3,3.9,X
2023-01-04,248,-7.4,3.1,-5.1,-12.7,73,1.1,6.1,X
2023-01-04,252,-6.9,6.3,-0.5,-6,73.1,0.9,3.2,X
2023-01-04,253,-5.8,8.1,1.6,-3.4,40.4,1.8,4.6,X
2023-01-04,254,-12.5,4.6,-3.1,-10.2,78.9,1.1,5.2,X
2023-01-04,257,-5.3,9,2.5,-2.4,42.4,2,6.4,X
2023-01-04,259,-4.9,7.8,0.9,-5.2,66.6,1.4,4.4,X
2023-01-04,260,-5.6,6.9,0,-7.4,65.6,1.6,6.2,X
2023-01-04,261,-6,7.6,0.1,-6.4,74,1.1,5.1,X
2023-01-04,262,-5.5,7,0.7,-4.8,60.5,1.9,5.4,X
2023-01-04,263,-11.9,9.8,-1.4,-9.1,59.3,1.7,6.2,X
2023-01-04,264,-7.9,6.1,-0.6,-6.3,53.6,2.6,6.5,X
2023-01-04,268,-6.9,6.9,0.8,-5.2,71.9,1.7,4.8,X
2023-01-04,271,-12.4,3.3,-4.3,-10.1,52.9,2.1,6.2,O
2023-01-04,272,-11.9,2.6,-1.5,-8.6,47.1,4.2,8.5,O
2023-01-04,273,-9.7,3.9,-0.9,-7,53,2.8,5.6,X
2023-01-04,276,-11.8,4.5,-4.5,-13.2,45.5,1.7,5.2,O
2023-01-04,277,-8.9,5.7,0.6,-3.5,33.3,3.8,8.1,X
2023-01-04,278,-5.4,5.6,-4.6,-12.8,63.4,0.9,4.2,O
2023-01-04,279,-4.8,6.7,-0.7,-6,46.6,0.8,2.6,X
2023-01-04,281,-8.5,6,-0.1,-4.1,45.1,2.9,6.3,X
2023-01-04,283,-8.1,6.5,0.2,-5,43.5,3.1,6.9,X
2023-01-04,284,-11.7,6.8,-1.9,-9,59.6,1.5,5.3,X
2023-01-04,285,6.5,8.7,-1.3,-8.5,61.1,0.4,2.6,X
2023-01-04,288,-4.5,8.2,0.8,-6.2,39.9,0.9,3.8,X
2023-01-04,289,-7.5,6.7,0.2,-4.3,51.6,2.2,6.5,X
2023-01-04,294,-4.2,7.7,2.4,-2.5,48.3,1.3,4,X
2023-01-04,295,-5.7,8.1,1.7,-3.4,55.1,1.4,4.7,X
2023-01-04,433,-2.7,1.3,-2.9,-7.2,46,0.3,2.2,X
2023-01-04,437,-0.4,3.5,-0.7,-4.5,45,0.7,2.9,X
2023-01-04,438,-2,3.6,-1.4,-5.9,49,0.7,3.6,X
2023-01-04,445,-10.5,3.4,-2.6,-8.1,53,1,2.8,X
2023-01-04,504,-14.9,3,-6.7,-13.1,62,0.9,2.6,O
2023-01-04,505,-5.4,2,-7.1,-14.4,61,0.7,3.5,O
2023-01-04,516,-12.4,3.7,-3.5,-9.8,68,1.1,4.4,X
2023-01-04,517,-6.6,5.3,1,-1.9,15,3.2,5.1,X
2023-01-04,526,-6,2.4,-9.1,-16.1,60,0.6,3.2,O
2023-01-04,532,-2.7,2,-4.6,-10.2,59,0.7,3.3,O
2023-01-04,536,-16.4,3.2,-7.7,-15,66,0.8,3.2,O
2023-01-04,540,-2.1,3.4,-3.6,-9.1,52,0.7,3.4,O
2023-01-04,541,-12.1,4.1,-4.8,-11.1,55,1,3.1,O
2023-01-04,545,2,4.5,-4.6,-11.9,76,0.3,2.4,X
2023-01-04,546,-11.7,3.3,-4.1,-9.8,50,1,3.3,O
2023-01-04,548,-14.1,2.4,-4.3,-10.2,62,1.2,2.1,O
2023-01-04,549,-1.6,3.8,-3.8,-10.4,61,0.9,2.8,O
2023-01-04,550,-2.8,4,-3,-9.9,68,0.8,3.1,X
2023-01-04,551,-10.1,4.1,-2.1,-8.5,66,1.4,3.4,X
2023-01-04,555,-17.9,2.7,-7.8,-14.9,72,0.9,2.6,O
2023-01-04,556,-21.1,2,-9.4,-17.7,59,1.1,4.2,O
2023-01-04,565,-4.7,3.5,-4,-10.5,69,1,4.2,X
2023-01-04,569,-10.7,3.8,-2.9,-8.7,49,1.1,3.1,X
2023-01-04,571,-7.5,3.1,-1.9,-6.7,65,0.8,2.6,X
2023-01-04,572,0,3.4,-2.7,-8.7,46,0.5,2.7,X
2023-01-04,590,-4.7,3.9,-3.4,-10.1,63,0.8,3.1,X
2023-01-04,598,-15.5,1.8,-6.7,-12.5,68,0.9,3.3,O
2023-01-04,601,-13.2,3.6,-4.9,-11.2,64,0.8,2.6,O
2023-01-04,602,-13.2,4.2,-3.4,-10.1,65,1.1,4.6,X
2023-01-04,603,-6.2,3,-6.2,-13.7,73,0.8,3.7,O
2023-01-04,604,0.8,5.4,-3.1,-9.2,69,0.6,3.6,X
2023-01-04,608,-6.6,5.3,-1.9,-7.5,65,1.1,3.2,X
2023-01-04,612,-0.8,5.2,-2.6,-9.3,67,0.6,3.4,X
2023-01-04,615,-10.3,6.6,-2,-8.1,72,0.8,2.4,X
2023-01-04,616,-8.1,4.8,-1.7,-6.9,71,1,3,X
2023-01-04,618,0.2,4.8,-3.5,-10.5,76,0.4,2,X
2023-01-04,619,-16.1,2.2,-6.4,-13.7,73,1.6,5.2,O
2023-01-04,623,-12.6,4.3,-3.7,-10.3,69,0.7,3.7,X
2023-01-04,627,-4.5,4.8,-0.2,-4.9,69,1.2,3.1,X
2023-01-04,628,-9.7,4.6,-1.9,-6.6,72,1,3,X
2023-01-04,634,-11,3.8,-2.6,-7.8,74,1.3,4.8,X
2023-01-04,636,-12.2,4.9,-3.6,-10.8,74,0.9,3.6,X
2023-01-04,652,-5.7,1.6,-7.6,-14.3,66,0.6,2.4,O
2023-01-04,670,-7.8,4.8,1.3,-1.7,15,4.5,7.4,X
2023-01-04,699,-8.8,6.9,0,-6.1,70,1.2,3.9,X
2023-01-04,701,-4.5,4.8,-3.5,-10.2,69,1.1,5.6,X
2023-01-04,702,-8.3,5.7,-0.9,-6.3,71,1.4,4.5,X
2023-01-04,703,-13.5,3,-4,-11.5,77,1.3,4,X
2023-01-04,706,-11,5,-2,-7.3,84,1.1,3,X
2023-01-04,709,-8.6,6.8,0.2,-4.9,67,3.5,8.5,X
2023-01-04,710,-9.6,6.6,-1.8,-8,83,0.9,4,X
2023-01-04,712,-6.7,8.7,1.4,-4.3,59,1.5,4.3,X
2023-01-04,713,-4.1,8.3,1.5,-3.9,47,1.5,4.1,X
2023-01-04,730,-6.2,5,-2,-7.5,79,0.7,2.6,X
2023-01-04,731,-7.8,7.1,-0.9,-6.6,80,0.5,4.3,X
2023-01-04,732,-7.9,5.8,-1,-7.7,69,1.5,5.6,X
2023-01-04,734,-10.5,6.3,-1.1,-7.9,74,1.5,4,X
2023-01-04,737,-9.9,5.1,-0.5,-5.6,72,0.7,3.7,X
2023-01-04,741,-9.9,5.9,-1.3,-7.7,72,1.2,4.4,X
2023-01-04,754,-9.7,6.8,-0.8,-6.8,75,1.6,4.1,X
2023-01-04,768,-8.5,5.4,-2.1,-8.1,79,1.2,4.7,X
2023-01-04,789,-11.1,7.3,1.3,-4.4,79,2.8,6.1,X
2023-01-04,801,-14.5,3.8,-5.2,-13.3,57,1.5,4.8,O
2023-01-04,810,-11.2,7.7,-2.3,-10,52,1.4,5.7,X
2023-01-04,812,4.1,7.6,-3,-10.9,56,0.6,3.1,X
2023-01-04,813,-12.3,6.8,-1.3,-9.3,51,2,6,X
2023-01-04,815,-4.6,4.8,-4.4,-11.3,59,1,3.9,X
2023-01-04,822,-10.8,5.3,-4.7,-12.3,61,1,4.1,O
2023-01-04,823,-11.9,5.7,-4.3,-11.8,64,1.2,4.7,O
2023-01-04,825,-9,7.3,-1.1,-7.6,55,1.6,5,X
2023-01-04,827,-6.6,6.8,0.4,-4.2,42,1.6,4.4,X
2023-01-04,876,-6.2,7.7,2.2,-1.5,17,2.5,5.6,X
2023-01-04,90,-5.6,5,0.7,-2.7,15.6,2.1,5.4,X
2023-01-04,907,-5.5,8.7,3.1,-2,42,3,7,X
2023-01-04,918,-9.8,8.7,0.8,-6,51,2,5.8,X
2023-01-04,919,-8.3,7.6,-0.5,-7.8,52,1.2,3.6,X
2023-01-04,920,-10.2,8.6,-2.9,-11.1,68,1.1,5.6,X
2023-01-04,93,-0.7,2,-7.8,-15.4,61.3,0.5,1.7,O
2023-01-04,932,-8.6,8.4,-0.1,-6.8,65,1.4,4.9,X
2023-01-04,95,-2.5,0.7,-9.6,-17.6,66.6,0.4,2,O
2023-01-04,98,-1.3,2.8,-5,-11.4,55,0.2,2.4,O
2023-01-04,99,-10.6,2.2,-6.6,-13.7,64.1,0.4,1.9,O
2023-01-05,104,-4.5,8.2,2.2,-3.1,30.9,1.5,3.8,X
2023-01-05,106,-2,8.6,3.9,0.4,30.1,2.4,4.5,X
2023-01-05,108,-9.7,3.6,-1.6,-5.6,58.1,1.6,3.2,X
2023-01-05,112,-7.3,1.3,-1.6,-3.7,67.4,1.3,2.7,X
2023-01-05,114,-0.4,3,-3.7,-9.5,64.8,0.6,2.5,O
2023-01-05,115,-1.5,5.9,3.4,1.6,54.9,1.8,3.9,X
2023-01-05,119,-11.3,2.1,-3.6,-9,80.1,0.8,1.9,X
2023-01-05,121,-0.8,3.8,-4.3,-11.9,70.4,0.5,3,O
2023-01-05,129,-9,4.8,-1.3,-6.7,73.9,1,2.6,X
